codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer,stock_norm,ventas_norm,nivel_rotacion
P0019,Sarten antiadherente,Cocina,240,56,96,2025-08-10,231,0.798611111111111,0.6418918918918919,Media
P0020,Te verde japones,Comida Asiatica,169,75,86,2025-10-11,66,0.5520833333333333,0.5743243243243243,Media
P0021,Polo basico,Ropa,143,32,28,2025-04-18,44,0.4618055555555555,0.18243243243243246,Baja
P0022,Salsa de soya,Comida Asiatica,137,66,129,2025-10-10,121,0.4409722222222222,0.8648648648648649,Alta
P0023,Te verde japones,Comida Asiatica,242,7,103,2025-07-17,137,0.8055555555555555,0.6891891891891891,Alta
P0024,Incienso japones,Decoracion,243,48,59,2025-06-09,96,0.8090277777777778,0.39189189189189194,Media
P0025,Cuaderno kawaii,Papeleria,189,66,52,2025-09-25,295,0.6215277777777778,0.3445945945945946,Baja
P0026,Escoba plegable,Hogar,122,60,81,2025-07-06,113,0.3888888888888889,0.5405405405405406,Media
P0027,Caja multiuso,Hogar,229,58,87,2025-08-12,225,0.7604166666666666,0.581081081081081,Media
P0028,Plato para mascotas,Mascotas,135,6,53,2025-06-21,218,0.4340277777777778,0.35135135135135137,Media
P0029,Audifonos Bluetooth,Electronica,256,72,123,2025-09-12,294,0.8541666666666666,0.8243243243243243,Alta
P0030,Cuaderno kawaii,Papeleria,107,74,139,2025-08-28,144,0.3368055555555555,0.9324324324324325,Alta
P0031,Arena para gato,Mascotas,133,63,70,2025-12-15,259,0.4270833333333333,0.4662162162162163,Media
P0032,Mochi,Comida Asiatica,156,24,96,2025-07-18,308,0.5069444444444444,0.6418918918918919,Media
P0033,Polo basico,Ropa,137,43,82,2025-12-26,129,0.4409722222222222,0.5472972972972973,Media
P0034,Polo basico,Ropa,160,35,42,2025-04-09,263,0.5208333333333334,0.27702702702702703,Baja
P0035,Polo basico,Ropa,11,5,48,2025-09-11,140,0.003472222222222217,0.3175675675675676,Baja
P0036,Incienso japones,Decoracion,169,13,99,2025-05-27,304,0.5520833333333333,0.6621621621621622,Media
P0037,Taza termica,Cocina,161,58,120,2025-06-10,116,0.5243055555555556,0.8040540540540541,Alta
P0038,Juguete para perro,Mascotas,113,29,93,2025-12-04,194,0.3576388888888889,0.6216216216216216,Media
P0039,Cable Tipo C,Electronica,217,65,68,2025-10-16,277,0.71875,0.45270270270270274,Media
P0040,Salsa de soya,Comida Asiatica,137,37,115,2025-01-22,238,0.4409722222222222,0.7702702702702703,Alta
P0041,Luz LED USB,Electronica,60,58,8,2025-10-10,27,0.1736111111111111,0.0472972972972973,Baja
P0042,Organizador plastico,Hogar,295,32,111,2025-11-13,304,0.9895833333333334,0.7432432432432432,Alta
P0043,Taza termica,Cocina,44,68,49,2025-01-17,172,0.11805555555555554,0.32432432432432434,Baja
P0044,Farol decorativo,Decoracion,108,41,24,2025-12-15,302,0.3402777777777778,0.15540540540540543,Baja
P0045,Figura Feng Shui,Decoracion,108,64,116,2025-07-10,253,0.3402777777777778,0.777027027027027,Alta
P0046,Figura Feng Shui,Decoracion,170,71,128,2025-01-18,281,0.5555555555555556,0.8581081081081081,Alta
P0047,Luz LED USB,Electronica,183,28,114,2025-10-15,342,0.6006944444444444,0.7635135135135135,Alta
P0048,Crema hidratante,Belleza,136,31,130,2025-09-30,104,0.4375,0.8716216216216216,Alta
P0049,Arena para gato,Mascotas,255,52,39,2025-06-19,247,0.8506944444444444,0.2567567567567568,Baja
P0050,Vaporizador de bambu,Cocina,22,64,135,2025-11-09,36,0.04166666666666666,0.9054054054054054,Alta
P0051,Ramen coreano,Comida Asiatica,273,20,142,2025-05-23,92,0.9131944444444444,0.9527027027027027,Alta
P0052,Caja multiuso,Hogar,297,67,86,2025-02-20,153,0.9965277777777778,0.5743243243243243,Media
P0053,Luz LED USB,Electronica,67,53,70,2025-09-28,54,0.19791666666666663,0.4662162162162163,Media
P0054,Incienso japones,Decoracion,273,57,60,2025-04-18,5,0.9131944444444444,0.3986486486486487,Media
P0055,Crema hidratante,Belleza,56,59,52,2025-05-24,269,0.1597222222222222,0.3445945945945946,Baja
P0056,Repisa modular,Hogar,115,34,147,2025-05-25,120,0.3645833333333333,0.9864864864864865,Alta
P0057,Taza termica,Cocina,67,59,90,2025-08-17,117,0.19791666666666663,0.6013513513513513,Media
P0058,Cepillo facial,Belleza,138,62,122,2025-01-01,239,0.4444444444444444,0.8175675675675675,Alta
P0059,Repisa modular,Hogar,135,52,89,2025-08-25,272,0.4340277777777778,0.5945945945945946,Media
P0060,Cepillo facial,Belleza,78,26,93,2025-09-04,76,0.2361111111111111,0.6216216216216216,Media
P0061,Palillos chinos,Cocina,95,61,29,2025-08-08,69,0.2951388888888889,0.1891891891891892,Baja
P0062,Juguete para perro,Mascotas,213,20,85,2025-02-08,100,0.704861111111111,0.5675675675675675,Media
P0063,Shampoo canino,Mascotas,32,14,69,2025-04-10,290,0.07638888888888888,0.4594594594594595,Media
P0064,Fideos udon,Comida Asiatica,259,23,96,2025-09-14,325,0.8645833333333333,0.6418918918918919,Media
P0065,Fideos udon,Comida Asiatica,169,28,140,2025-06-27,163,0.5520833333333333,0.9391891891891893,Alta
P0066,Arena para gato,Mascotas,188,47,101,2025-09-25,323,0.6180555555555556,0.6756756756756757,Alta
P0067,Arena para gato,Mascotas,177,78,43,2025-02-13,285,0.579861111111111,0.2837837837837838,Baja
P0068,Organizador plastico,Hogar,251,39,81,2025-03-31,264,0.8368055555555555,0.5405405405405406,Media
P0069,Escoba plegable,Hogar,114,11,58,2025-04-24,75,0.3611111111111111,0.38513513513513514,Media
P0070,Cuaderno kawaii,Papeleria,286,40,138,2025-12-23,192,0.9583333333333333,0.9256756756756757,Alta
P0071,Palillos chinos,Cocina,108,40,96,2025-06-01,151,0.3402777777777778,0.6418918918918919,Media
P0072,Incienso japones,Decoracion,192,17,23,2025-08-05,355,0.6319444444444444,0.14864864864864868,Baja
P0073,Medias termicas,Ropa,282,66,84,2025-08-05,342,0.9444444444444444,0.5608108108108107,Media
P0074,Palillos chinos,Cocina,109,16,147,2025-03-17,265,0.34375,0.9864864864864865,Alta
P0075,Crema hidratante,Belleza,232,56,83,2025-05-24,69,0.7708333333333333,0.5540540540540541,Media
P0076,Taza termica,Cocina,34,56,123,2025-02-22,151,0.08333333333333333,0.8243243243243243,Alta
P0077,Pijama,Ropa,118,57,42,2025-07-05,223,0.375,0.27702702702702703,Baja
P0078,Figura Feng Shui,Decoracion,224,79,146,2025-08-27,76,0.7430555555555555,0.9797297297297297,Alta
P0079,Medias termicas,Ropa,262,11,141,2025-06-17,170,0.875,0.9459459459459459,Alta
P0080,Medias termicas,Ropa,292,70,5,2025-01-29,165,0.9791666666666666,0.02702702702702703,Baja
P0081,Cable Tipo C,Electronica,145,69,86,2025-05-25,327,0.46875,0.5743243243243243,Media
P0082,Polo basico,Ropa,141,40,70,2025-09-09,275,0.4548611111111111,0.4662162162162163,Media
P0083,Cable Tipo C,Electronica,100,78,90,2025-01-19,39,0.3125,0.6013513513513513,Media
P0084,Palillos chinos,Cocina,150,62,148,2025-11-13,361,0.48611111111111105,0.9932432432432432,Alta
P0085,Mascarilla coreana,Belleza,199,67,113,2025-11-08,117,0.65625,0.7567567567567568,Alta
P0086,Luz LED USB,Electronica,53,49,61,2025-10-30,149,0.14930555555555552,0.40540540540540543,Media
P0087,Mini ventilador USB,Electronica,212,40,147,2025-01-20,47,0.7013888888888888,0.9864864864864865,Alta
P0088,Polo basico,Ropa,23,19,1,2025-02-23,259,0.04513888888888888,0.0,Baja
P0089,Mascarilla coreana,Belleza,21,78,16,2025-12-24,156,0.038194444444444434,0.10135135135135136,Baja
P0090,Farol decorativo,Decoracion,173,12,60,2025-06-27,28,0.5659722222222222,0.3986486486486487,Media
P0091,Incienso japones,Decoracion,237,68,145,2025-07-20,212,0.7881944444444444,0.972972972972973,Alta
P0092,Palillos chinos,Cocina,91,73,47,2025-01-10,312,0.28125,0.31081081081081086,Baja
P0093,Escoba plegable,Hogar,14,37,118,2025-03-06,146,0.013888888888888881,0.7905405405405406,Alta
P0094,Plato para mascotas,Mascotas,291,67,86,2025-11-11,283,0.9756944444444443,0.5743243243243243,Media
P0095,Shampoo canino,Mascotas,107,5,149,2025-11-07,6,0.3368055555555555,1.0,Alta
P0096,Shampoo canino,Mascotas,142,7,23,2025-02-22,165,0.4583333333333333,0.14864864864864868,Baja
P0097,Palillos chinos,Cocina,94,77,110,2025-01-01,51,0.2916666666666667,0.7364864864864865,Alta
P0098,Ramen coreano,Comida Asiatica,297,38,92,2025-04-05,72,0.9965277777777778,0.6148648648648649,Media
P0099,Crema hidratante,Belleza,259,38,118,2025-09-16,306,0.8645833333333333,0.7905405405405406,Alta
P0100,Juguete para perro,Mascotas,231,61,145,2025-04-22,255,0.767361111111111,0.972972972972973,Alta
P0101,Cepillo facial,Belleza,238,18,66,2025-03-16,103,0.7916666666666666,0.4391891891891892,Media
P0102,Audifonos Bluetooth,Electronica,261,42,50,2025-04-08,338,0.8715277777777778,0.3310810810810811,Baja
P0103,Sarten antiadherente,Cocina,258,42,79,2025-01-30,247,0.861111111111111,0.527027027027027,Media
P0104,Palillos chinos,Cocina,142,33,132,2025-05-18,184,0.4583333333333333,0.8851351351351351,Alta
P0105,Correa retractil,Mascotas,282,73,34,2025-09-19,53,0.9444444444444444,0.22297297297297297,Baja
P0106,Organizador plastico,Hogar,135,47,115,2025-04-21,249,0.4340277777777778,0.7702702702702703,Alta
P0107,Cepillo facial,Belleza,104,79,118,2025-01-08,360,0.3263888888888889,0.7905405405405406,Alta
P0108,Ramen coreano,Comida Asiatica,204,71,93,2025-06-09,61,0.673611111111111,0.6216216216216216,Media
P0109,Sarten antiadherente,Cocina,286,9,92,2025-06-19,317,0.9583333333333333,0.6148648648648649,Media
P0110,Mini ventilador USB,Electronica,10,9,12,2025-12-12,46,0.0,0.07432432432432433,Baja
P0111,Organizador plastico,Hogar,87,49,73,2025-10-09,249,0.2673611111111111,0.4864864864864865,Media
P0112,Medias termicas,Ropa,248,60,94,2025-04-17,319,0.8263888888888888,0.6283783783783784,Media
P0113,Correa retractil,Mascotas,266,12,113,2025-12-21,253,0.8888888888888888,0.7567567567567568,Alta
P0114,Fideos udon,Comida Asiatica,37,6,109,2025-06-03,14,0.09374999999999999,0.7297297297297297,Alta
P0115,Stickers decorativos,Papeleria,16,7,111,2025-08-26,363,0.02083333333333333,0.7432432432432432,Alta
P0116,Caja multiuso,Hogar,236,19,119,2025-01-28,202,0.7847222222222222,0.7972972972972973,Alta
P0117,Mascarilla coreana,Belleza,282,48,25,2025-05-25,13,0.9444444444444444,0.16216216216216217,Baja
P0118,Ramen coreano,Comida Asiatica,77,14,67,2025-08-21,109,0.2326388888888889,0.445945945945946,Media
P0119,Escoba plegable,Hogar,237,38,111,2025-09-21,236,0.7881944444444444,0.7432432432432432,Alta
P0120,Vaporizador de bambu,Cocina,110,10,26,2025-11-16,226,0.3472222222222222,0.16891891891891891,Baja
P0121,Stickers decorativos,Papeleria,238,37,21,2025-07-17,70,0.7916666666666666,0.13513513513513514,Baja
P0122,Crema hidratante,Belleza,104,28,55,2025-05-17,247,0.3263888888888889,0.3648648648648649,Media
P0123,Sarten antiadherente,Cocina,40,44,36,2025-08-11,6,0.10416666666666667,0.2364864864864865,Baja
P0124,Repisa modular,Hogar,229,79,4,2025-12-01,134,0.7604166666666666,0.02027027027027027,Baja
P0125,Mini ventilador USB,Electronica,103,55,62,2025-07-13,335,0.3229166666666667,0.4121621621621622,Media
P0126,Lapicero gel,Papeleria,182,48,133,2025-11-22,118,0.5972222222222222,0.8918918918918919,Alta
P0127,Salsa de soya,Comida Asiatica,221,24,113,2025-05-20,47,0.7326388888888888,0.7567567567567568,Alta
P0128,Correa retractil,Mascotas,151,68,38,2025-10-20,139,0.48958333333333337,0.25000000000000006,Baja
P0129,Te verde japones,Comida Asiatica,268,37,134,2025-06-27,10,0.8958333333333333,0.8986486486486487,Alta
P0130,Figura Feng Shui,Decoracion,147,48,130,2025-01-13,168,0.4756944444444444,0.8716216216216216,Alta
P0131,Repisa modular,Hogar,110,77,17,2025-09-22,38,0.3472222222222222,0.10810810810810811,Baja
P0132,Cepillo facial,Belleza,103,53,69,2025-11-14,236,0.3229166666666667,0.4594594594594595,Media
P0133,Caja multiuso,Hogar,146,38,76,2025-02-04,1,0.4722222222222222,0.5067567567567568,Media
P0134,Lapicero gel,Papeleria,69,68,93,2025-11-24,267,0.2048611111111111,0.6216216216216216,Media
P0135,Polo basico,Ropa,279,64,30,2025-10-18,213,0.9340277777777778,0.19594594594594594,Baja
P0136,Incienso japones,Decoracion,87,30,62,2025-05-12,89,0.2673611111111111,0.4121621621621622,Media
P0137,Medias termicas,Ropa,113,18,32,2025-06-28,125,0.3576388888888889,0.20945945945945948,Baja
P0138,Mini ventilador USB,Electronica,32,67,143,2025-06-02,145,0.07638888888888888,0.9594594594594594,Alta
P0139,Correa retractil,Mascotas,113,55,39,2025-07-17,134,0.3576388888888889,0.2567567567567568,Baja
P0140,Sarten antiadherente,Cocina,188,76,42,2025-01-15,111,0.6180555555555556,0.27702702702702703,Baja
P0141,Juguete para perro,Mascotas,240,31,38,2025-04-07,289,0.798611111111111,0.25000000000000006,Baja
P0142,Fideos udon,Comida Asiatica,19,9,123,2025-11-26,353,0.03125,0.8243243243243243,Alta
P0143,Luz LED USB,Electronica,168,51,109,2025-08-04,184,0.548611111111111,0.7297297297297297,Alta
P0144,Cuaderno kawaii,Papeleria,166,51,68,2025-11-28,173,0.5416666666666666,0.45270270270270274,Media
P0145,Escoba plegable,Hogar,104,40,36,2025-10-09,299,0.3263888888888889,0.2364864864864865,Baja
P0146,Figura Feng Shui,Decoracion,263,78,104,2025-02-07,134,0.8784722222222222,0.6959459459459459,Alta
P0147,Stickers decorativos,Papeleria,227,17,104,2025-07-29,111,0.7534722222222222,0.6959459459459459,Alta
P0148,Stickers decorativos,Papeleria,142,41,72,2025-05-07,106,0.4583333333333333,0.47972972972972977,Media
P0149,Juguete para perro,Mascotas,296,13,51,2025-01-29,296,0.9930555555555555,0.3378378378378379,Baja
P0150,Medias termicas,Ropa,276,27,1,2025-10-29,101,0.923611111111111,0.0,Baja
P0151,Farol decorativo,Decoracion,119,40,57,2025-01-01,319,0.3784722222222222,0.3783783783783784,Media
P0152,Cable Tipo C,Electronica,158,51,53,2025-05-17,202,0.5138888888888888,0.35135135135135137,Media
P0153,Ramen coreano,Comida Asiatica,126,30,35,2025-03-04,244,0.4027777777777778,0.22972972972972977,Baja
P0154,Medias termicas,Ropa,84,42,130,2025-07-29,347,0.2569444444444444,0.8716216216216216,Alta
P0155,Plato para mascotas,Mascotas,260,55,25,2025-06-29,198,0.8680555555555555,0.16216216216216217,Baja
P0156,Incienso japones,Decoracion,186,33,63,2025-05-30,154,0.611111111111111,0.41891891891891897,Media
P0157,Organizador plastico,Hogar,58,75,81,2025-03-25,361,0.16666666666666663,0.5405405405405406,Media
P0158,Juguete para perro,Mascotas,127,67,104,2025-02-18,327,0.40625,0.6959459459459459,Alta
P0159,Shampoo canino,Mascotas,224,55,123,2025-07-30,318,0.7430555555555555,0.8243243243243243,Alta
P0160,Shampoo canino,Mascotas,295,20,19,2025-01-18,257,0.9895833333333334,0.12162162162162164,Baja
P0161,Sarten antiadherente,Cocina,203,42,63,2025-05-12,264,0.6701388888888888,0.41891891891891897,Media
P0162,Cepillo facial,Belleza,140,36,10,2025-06-11,87,0.4513888888888889,0.060810810810810814,Baja
P0163,Crema hidratante,Belleza,17,69,57,2025-09-04,323,0.024305555555555552,0.3783783783783784,Media
P0164,Stickers decorativos,Papeleria,264,76,54,2025-09-06,239,0.8819444444444444,0.35810810810810817,Media
P0165,Figura Feng Shui,Decoracion,60,12,35,2025-04-06,88,0.1736111111111111,0.22972972972972977,Baja
P0166,Lapicero gel,Papeleria,174,58,142,2025-08-11,311,0.5694444444444444,0.9527027027027027,Alta
P0167,Escoba plegable,Hogar,272,37,85,2025-05-27,112,0.9097222222222222,0.5675675675675675,Media
P0168,Taza termica,Cocina,294,64,82,2025-01-02,303,0.986111111111111,0.5472972972972973,Media
P0169,Figura Feng Shui,Decoracion,243,6,119,2025-01-20,261,0.8090277777777778,0.7972972972972973,Alta
P0170,Farol decorativo,Decoracion,265,13,53,2025-12-21,342,0.8854166666666666,0.35135135135135137,Media
P0171,Cuaderno kawaii,Papeleria,211,34,120,2025-02-28,215,0.6979166666666666,0.8040540540540541,Alta
P0172,Correa retractil,Mascotas,124,18,9,2025-02-09,237,0.3958333333333333,0.05405405405405406,Baja
P0173,Pijama,Ropa,210,26,4,2025-06-03,29,0.6944444444444444,0.02027027027027027,Baja
P0174,Escoba plegable,Hogar,84,74,146,2025-05-08,341,0.2569444444444444,0.9797297297297297,Alta
P0175,Ramen coreano,Comida Asiatica,43,21,122,2025-03-17,87,0.11458333333333333,0.8175675675675675,Alta
P0176,Farol decorativo,Decoracion,36,61,31,2025-05-14,219,0.09027777777777778,0.20270270270270274,Baja
P0177,Lapicero gel,Papeleria,277,57,138,2025-06-22,190,0.9270833333333333,0.9256756756756757,Alta
P0178,Repisa modular,Hogar,202,55,36,2025-10-09,29,0.6666666666666666,0.2364864864864865,Baja
P0179,Figura Feng Shui,Decoracion,20,40,113,2025-07-06,295,0.034722222222222224,0.7567567567567568,Alta
P0180,Stickers decorativos,Papeleria,107,59,111,2025-06-01,246,0.3368055555555555,0.7432432432432432,Alta
P0181,Mini ventilador USB,Electronica,298,40,148,2025-08-15,244,0.9999999999999999,0.9932432432432432,Alta
P0182,Plato para mascotas,Mascotas,210,30,73,2025-07-20,296,0.6944444444444444,0.4864864864864865,Media
P0183,Arena para gato,Mascotas,226,65,104,2025-02-11,25,0.75,0.6959459459459459,Alta
P0184,Cepillo facial,Belleza,140,48,102,2025-12-20,12,0.4513888888888889,0.6824324324324325,Alta
P0185,Palillos chinos,Cocina,53,63,49,2025-01-17,330,0.14930555555555552,0.32432432432432434,Baja
P0186,Pijama,Ropa,21,66,80,2025-08-04,339,0.038194444444444434,0.5337837837837838,Media
P0187,Stickers decorativos,Papeleria,158,74,25,2025-03-30,268,0.5138888888888888,0.16216216216216217,Baja
P0188,Polo basico,Ropa,35,51,32,2025-09-23,16,0.08680555555555555,0.20945945945945948,Baja
P0189,Mascarilla coreana,Belleza,291,11,14,2025-12-01,117,0.9756944444444443,0.08783783783783784,Baja
P0190,Mascarilla coreana,Belleza,185,76,59,2025-08-03,82,0.6076388888888888,0.39189189189189194,Media
P0191,Salsa de soya,Comida Asiatica,112,21,14,2025-06-08,152,0.35416666666666663,0.08783783783783784,Baja
P0192,Taza termica,Cocina,197,49,98,2025-05-11,293,0.6493055555555556,0.6554054054054054,Media
P0193,Lapicero gel,Papeleria,192,43,15,2025-01-04,349,0.6319444444444444,0.0945945945945946,Baja
P0194,Mini ventilador USB,Electronica,219,37,16,2025-04-18,311,0.7256944444444444,0.10135135135135136,Baja
P0195,Vaporizador de bambu,Cocina,43,34,13,2025-05-21,274,0.11458333333333333,0.08108108108108109,Baja
P0196,Sarten antiadherente,Cocina,48,50,29,2025-11-14,245,0.13194444444444442,0.1891891891891892,Baja
P0197,Pijama,Ropa,275,34,103,2025-12-06,65,0.9201388888888888,0.6891891891891891,Alta
P0198,Plato para mascotas,Mascotas,151,34,68,2025-05-26,293,0.48958333333333337,0.45270270270270274,Media
P0199,Polo basico,Ropa,82,19,49,2025-12-10,140,0.25,0.32432432432432434,Baja
P0200,Incienso japones,Decoracion,207,43,63,2025-10-29,344,0.6840277777777778,0.41891891891891897,Media
P0201,Organizador plastico,Hogar,208,56,4,2025-02-28,72,0.6875,0.02027027027027027,Baja
P0202,Te verde japones,Comida Asiatica,72,58,117,2025-08-31,330,0.2152777777777778,0.7837837837837838,Alta
P0203,Organizador plastico,Hogar,227,45,3,2025-09-19,5,0.7534722222222222,0.013513513513513514,Baja
P0204,Farol decorativo,Decoracion,56,53,9,2025-04-09,20,0.1597222222222222,0.05405405405405406,Baja
P0205,Shampoo canino,Mascotas,187,66,145,2025-08-04,3,0.6145833333333333,0.972972972972973,Alta
P0206,Vaporizador de bambu,Cocina,278,77,68,2025-12-23,98,0.9305555555555555,0.45270270270270274,Media
P0207,Pijama,Ropa,132,33,137,2025-07-14,226,0.4236111111111111,0.918918918918919,Alta
P0208,Pijama,Ropa,49,29,5,2025-08-14,124,0.13541666666666663,0.02702702702702703,Baja
P0209,Audifonos Bluetooth,Electronica,260,9,90,2025-02-06,316,0.8680555555555555,0.6013513513513513,Media
P0210,Incienso japones,Decoracion,90,44,45,2025-08-12,318,0.2777777777777778,0.2972972972972973,Baja
P0211,Vaporizador de bambu,Cocina,65,44,98,2025-02-09,347,0.1909722222222222,0.6554054054054054,Media
P0212,Plato para mascotas,Mascotas,177,63,59,2025-10-31,169,0.579861111111111,0.39189189189189194,Media
P0213,Polo basico,Ropa,179,67,7,2025-05-13,235,0.5868055555555556,0.04054054054054054,Baja
P0214,Pijama,Ropa,40,27,138,2025-06-09,363,0.10416666666666667,0.9256756756756757,Alta
P0215,Farol decorativo,Decoracion,48,35,82,2025-12-22,258,0.13194444444444442,0.5472972972972973,Media
P0216,Crema hidratante,Belleza,233,17,46,2025-06-04,113,0.7743055555555555,0.3040540540540541,Baja
P0217,Polo basico,Ropa,232,64,88,2025-12-31,163,0.7708333333333333,0.5878378378378378,Media
P0218,Cable Tipo C,Electronica,83,67,60,2025-12-01,222,0.2534722222222222,0.3986486486486487,Media
P0219,Incienso japones,Decoracion,287,72,148,2025-12-18,242,0.9618055555555555,0.9932432432432432,Alta
P0220,Salsa de soya,Comida Asiatica,201,21,12,2025-07-12,22,0.6631944444444444,0.07432432432432433,Baja
P0221,Stickers decorativos,Papeleria,219,54,14,2025-07-11,175,0.7256944444444444,0.08783783783783784,Baja
P0222,Salsa de soya,Comida Asiatica,236,56,125,2025-01-07,29,0.7847222222222222,0.8378378378378378,Alta
P0223,Plato para mascotas,Mascotas,67,30,29,2025-01-04,99,0.19791666666666663,0.1891891891891892,Baja
P0224,Pijama,Ropa,280,33,75,2025-10-15,130,0.9375,0.5,Media
P0225,Salsa de soya,Comida Asiatica,36,71,81,2025-08-24,92,0.09027777777777778,0.5405405405405406,Media
P0226,Figura Feng Shui,Decoracion,93,10,147,2025-09-14,58,0.2881944444444444,0.9864864864864865,Alta
P0227,Cable Tipo C,Electronica,171,65,64,2025-10-08,280,0.5590277777777778,0.4256756756756757,Media
P0228,Escoba plegable,Hogar,217,31,72,2025-03-01,145,0.71875,0.47972972972972977,Media
P0229,Figura Feng Shui,Decoracion,36,50,50,2025-07-18,349,0.09027777777777778,0.3310810810810811,Baja
P0230,Farol decorativo,Decoracion,55,19,17,2025-08-24,340,0.15625,0.10810810810810811,Baja
P0231,Ramen coreano,Comida Asiatica,175,52,63,2025-08-02,117,0.5729166666666666,0.41891891891891897,Media
P0232,Repisa modular,Hogar,81,15,64,2025-07-24,209,0.2465277777777778,0.4256756756756757,Media
P0233,Cuaderno kawaii,Papeleria,283,68,82,2025-04-05,166,0.9479166666666666,0.5472972972972973,Media
P0234,Polo basico,Ropa,111,45,136,2025-09-24,214,0.3506944444444444,0.9121621621621622,Alta
P0235,Taza termica,Cocina,50,21,76,2025-02-15,160,0.1388888888888889,0.5067567567567568,Media
P0236,Luz LED USB,Electronica,101,24,97,2025-01-02,225,0.3159722222222222,0.6486486486486487,Media
P0237,Arena para gato,Mascotas,86,30,103,2025-07-13,166,0.2638888888888889,0.6891891891891891,Alta
P0238,Crema hidratante,Belleza,183,19,106,2025-11-01,360,0.6006944444444444,0.7094594594594594,Alta
P0239,Sarten antiadherente,Cocina,18,10,73,2025-12-25,223,0.027777777777777776,0.4864864864864865,Media
P0240,Medias termicas,Ropa,213,12,72,2025-06-27,348,0.704861111111111,0.47972972972972977,Media
P0241,Salsa de soya,Comida Asiatica,16,79,84,2025-07-27,314,0.02083333333333333,0.5608108108108107,Media
P0242,Luz LED USB,Electronica,12,45,106,2025-01-14,12,0.006944444444444441,0.7094594594594594,Alta
P0243,Mascarilla coreana,Belleza,34,49,122,2025-05-27,55,0.08333333333333333,0.8175675675675675,Alta
P0244,Te verde japones,Comida Asiatica,230,57,32,2025-11-03,300,0.7638888888888888,0.20945945945945948,Baja
P0245,Caja multiuso,Hogar,220,26,37,2025-12-18,312,0.7291666666666666,0.24324324324324326,Baja
P0246,Pijama,Ropa,140,32,35,2025-04-03,207,0.4513888888888889,0.22972972972972977,Baja
P0247,Juguete para perro,Mascotas,222,35,24,2025-10-20,4,0.736111111111111,0.15540540540540543,Baja
P0248,Mochi,Comida Asiatica,161,54,96,2025-04-15,250,0.5243055555555556,0.6418918918918919,Media
P0249,Farol decorativo,Decoracion,237,70,79,2025-09-19,295,0.7881944444444444,0.527027027027027,Media
P0250,Sarten antiadherente,Cocina,195,16,131,2025-08-25,18,0.642361111111111,0.8783783783783784,Alta
P0251,Cuaderno kawaii,Papeleria,234,30,8,2025-04-10,240,0.7777777777777778,0.0472972972972973,Baja
P0252,Crema hidratante,Belleza,23,6,119,2025-10-20,325,0.04513888888888888,0.7972972972972973,Alta
P0253,Mini ventilador USB,Electronica,50,66,60,2025-04-21,14,0.1388888888888889,0.3986486486486487,Media
P0254,Stickers decorativos,Papeleria,93,6,70,2025-05-25,345,0.2881944444444444,0.4662162162162163,Media
P0255,Medias termicas,Ropa,172,9,45,2025-10-30,287,0.5625,0.2972972972972973,Baja
P0256,Vaporizador de bambu,Cocina,279,78,93,2025-09-23,332,0.9340277777777778,0.6216216216216216,Media
