codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer
P0170,Farol decorativo,Decoracion,265,13,53,2025-12-21,342
P0171,Cuaderno kawaii,Papeleria,211,34,120,2025-02-28,215
P0172,Correa retractil,Mascotas,124,18,9,2025-02-09,237
P0173,Pijama,Ropa,210,26,4,2025-06-03,29
P0174,Escoba plegable,Hogar,84,74,146,2025-05-08,341
P0175,Ramen coreano,Comida Asiatica,43,21,122,2025-03-17,87
P0176,Farol decorativo,Decoracion,36,61,31,2025-05-14,219
P0177,Lapicero gel,Papeleria,277,57,138,2025-06-22,190
P0178,Repisa modular,Hogar,202,55,36,2025-10-09,29
P0179,Figura Feng Shui,Decoracion,20,40,113,2025-07-06,295
P0180,Stickers decorativos,Papeleria,107,59,111,2025-06-01,246
P0181,Mini ventilador USB,Electronica,298,40,148,2025-08-15,244
P0182,Plato para mascotas,Mascotas,210,30,73,2025-07-20,296
P0183,Arena para gato,Mascotas,226,65,104,2025-02-11,25
P0184,Cepillo facial,Belleza,140,48,102,2025-12-20,12
P0185,Palillos chinos,Cocina,53,63,49,2025-01-17,330
P0186,Pijama,Ropa,21,66,80,2025-08-04,339
P0187,Stickers decorativos,Papeleria,158,74,25,2025-03-30,268
P0188,Polo basico,Ropa,35,51,32,2025-09-23,16
P0189,Mascarilla coreana,Belleza,291,11,14,2025-12-01,117
P0190,Mascarilla coreana,Belleza,185,76,59,2025-08-03,82
P0191,Salsa de soya,Comida Asiatica,112,21,14,2025-06-08,152
P0192,Taza termica,Cocina,197,49,98,2025-05-11,293
P0193,Lapicero gel,Papeleria,192,43,15,2025-01-04,349
P0194,Mini ventilador USB,Electronica,219,37,16,2025-04-18,311
P0195,Vaporizador de bambu,Cocina,43,34,13,2025-05-21,274
P0196,Sarten antiadherente,Cocina,48,50,29,2025-11-14,245
P0197,Pijama,Ropa,275,34,103,2025-12-06,65
P0198,Plato para mascotas,Mascotas,151,34,68,2025-05-26,293
P0199,Polo basico,Ropa,82,19,49,2025-12-10,140
P0200,Incienso japones,Decoracion,207,43,63,2025-10-29,344
P0201,Organizador plastico,Hogar,208,56,4,2025-02-28,72
P0202,Te verde japones,Comida Asiatica,72,58,117,2025-08-31,330
P0203,Organizador plastico,Hogar,227,45,3,2025-09-19,5
P0204,Farol decorativo,Decoracion,56,53,9,2025-04-09,20
P0205,Shampoo canino,Mascotas,187,66,145,2025-08-04,3
P0206,Vaporizador de bambu,Cocina,278,77,68,2025-12-23,98
P0207,Pijama,Ropa,132,33,137,2025-07-14,226
P0208,Pijama,Ropa,49,29,5,2025-08-14,124
P0209,Audifonos Bluetooth,Electronica,260,9,90,2025-02-06,316
P0210,Incienso japones,Decoracion,90,44,45,2025-08-12,318
P0211,Vaporizador de bambu,Cocina,65,44,98,2025-02-09,347
P0212,Plato para mascotas,Mascotas,177,63,59,2025-10-31,169
P0213,Polo basico,Ropa,179,67,7,2025-05-13,235
P0214,Pijama,Ropa,40,27,138,2025-06-09,363
P0215,Farol decorativo,Decoracion,48,35,82,2025-12-22,258
P0216,Crema hidratante,Belleza,233,17,46,2025-06-04,113
P0217,Polo basico,Ropa,232,64,88,2025-12-31,163
P0218,Cable Tipo C,Electronica,83,67,60,2025-12-01,222
P0219,Incienso japones,Decoracion,287,72,148,2025-12-18,242
P0220,Salsa de soya,Comida Asiatica,201,21,12,2025-07-12,22
P0221,Stickers decorativos,Papeleria,219,54,14,2025-07-11,175
P0222,Salsa de soya,Comida Asiatica,236,56,125,2025-01-07,29
P0223,Plato para mascotas,Mascotas,67,30,29,2025-01-04,99
P0224,Pijama,Ropa,280,33,75,2025-10-15,130
P0225,Salsa de soya,Comida Asiatica,36,71,81,2025-08-24,92
P0226,Figura Feng Shui,Decoracion,93,10,147,2025-09-14,58
P0227,Cable Tipo C,Electronica,171,65,64,2025-10-08,280
P0228,Escoba plegable,Hogar,217,31,72,2025-03-01,145
P0229,Figura Feng Shui,Decoracion,36,50,50,2025-07-18,349
P0230,Farol decorativo,Decoracion,55,19,17,2025-08-24,340
P0231,Ramen coreano,Comida Asiatica,175,52,63,2025-08-02,117
P0232,Repisa modular,Hogar,81,15,64,2025-07-24,209
P0233,Cuaderno kawaii,Papeleria,283,68,82,2025-04-05,166
P0234,Polo basico,Ropa,111,45,136,2025-09-24,214
P0235,Taza termica,Cocina,50,21,76,2025-02-15,160
P0236,Luz LED USB,Electronica,101,24,97,2025-01-02,225
P0237,Arena para gato,Mascotas,86,30,103,2025-07-13,166
P0238,Crema hidratante,Belleza,183,19,106,2025-11-01,360
P0239,Sarten antiadherente,Cocina,18,10,73,2025-12-25,223
P0240,Medias termicas,Ropa,213,12,72,2025-06-27,348
P0241,Salsa de soya,Comida Asiatica,16,79,84,2025-07-27,314
P0242,Luz LED USB,Electronica,12,45,106,2025-01-14,12
P0243,Mascarilla coreana,Belleza,34,49,122,2025-05-27,55
P0244,Te verde japones,Comida Asiatica,230,57,32,2025-11-03,300
P0245,Caja multiuso,Hogar,220,26,37,2025-12-18,312
P0246,Pijama,Ropa,140,32,35,2025-04-03,207
P0247,Juguete para perro,Mascotas,222,35,24,2025-10-20,4
P0248,Mochi,Comida Asiatica,161,54,96,2025-04-15,250
P0249,Farol decorativo,Decoracion,237,70,79,2025-09-19,295
P0250,Sarten antiadherente,Cocina,195,16,131,2025-08-25,18
P0251,Cuaderno kawaii,Papeleria,234,30,8,2025-04-10,240
P0252,Crema hidratante,Belleza,23,6,119,2025-10-20,325
P0253,Mini ventilador USB,Electronica,50,66,60,2025-04-21,14
P0254,Stickers decorativos,Papeleria,93,6,70,2025-05-25,345
P0255,Medias termicas,Ropa,172,9,45,2025-10-30,287
P0256,Vaporizador de bambu,Cocina,279,78,93,2025-09-23,332
P0257,Polo basico,Ropa,142,24,8,2025-06-20,1
P0258,Medias termicas,Ropa,293,41,49,2025-04-30,44
P0259,Stickers decorativos,Papeleria,216,10,108,2025-09-08,334
P0260,Organizador plastico,Hogar,29,30,29,2025-01-01,119
P0261,Vaporizador de bambu,Cocina,254,63,69,2025-06-10,179
P0262,Te verde japones,Comida Asiatica,251,47,126,2025-08-05,306
P0263,Pijama,Ropa,232,60,38,2025-12-06,151
P0264,Fideos udon,Comida Asiatica,243,12,85,2025-05-09,264
P0265,Mini ventilador USB,Electronica,95,51,34,2025-07-12,311
P0266,Crema hidratante,Belleza,123,21,26,2025-05-16,303
P0267,Cuaderno kawaii,Papeleria,85,76,89,2025-10-29,289
P0268,Plato para mascotas,Mascotas,296,18,53,2025-10-31,69
P0269,Medias termicas,Ropa,229,70,63,2025-03-14,161
P0270,Polo basico,Ropa,185,17,73,2025-09-02,77
P0271,Pijama,Ropa,107,8,102,2025-01-19,82
P0272,Pijama,Ropa,138,58,89,2025-08-01,143
P0273,Juguete para perro,Mascotas,208,19,149,2025-11-12,93
P0274,Polo basico,Ropa,233,39,102,2025-09-24,355
P0275,Lapicero gel,Papeleria,274,7,85,2025-10-09,328
P0276,Caja multiuso,Hogar,126,30,12,2025-05-13,304
P0277,Figura Feng Shui,Decoracion,237,19,43,2025-12-09,326
P0278,Repisa modular,Hogar,30,27,107,2025-12-02,303
P0279,Figura Feng Shui,Decoracion,290,40,51,2025-09-28,324
P0280,Incienso japones,Decoracion,284,38,78,2025-02-21,27
P0281,Taza termica,Cocina,153,40,146,2025-01-02,77
P0282,Fideos udon,Comida Asiatica,272,78,39,2025-06-08,71
P0283,Cuaderno kawaii,Papeleria,45,72,118,2025-09-20,310
P0284,Juguete para perro,Mascotas,182,51,123,2025-05-21,118
P0285,Farol decorativo,Decoracion,229,13,26,2025-01-09,271
P0286,Lapicero gel,Papeleria,130,46,72,2025-06-01,208
P0287,Correa retractil,Mascotas,77,54,19,2025-04-10,60
P0288,Crema hidratante,Belleza,155,23,69,2025-06-24,49
P0289,Taza termica,Cocina,235,37,119,2025-05-29,150
P0290,Figura Feng Shui,Decoracion,169,15,138,2025-03-19,77
P0291,Medias termicas,Ropa,267,68,35,2025-09-20,85
P0292,Escoba plegable,Hogar,51,43,24,2025-07-07,302
P0293,Taza termica,Cocina,227,46,32,2025-06-16,109
P0294,Te verde japones,Comida Asiatica,173,7,73,2025-05-16,353
P0295,Mini ventilador USB,Electronica,205,17,49,2025-11-12,130
P0296,Figura Feng Shui,Decoracion,169,25,8,2025-08-18,200
P0297,Escoba plegable,Hogar,67,7,86,2025-11-22,130
P0298,Crema hidratante,Belleza,111,39,98,2025-10-13,116
P0299,Lapicero gel,Papeleria,45,73,77,2025-10-14,303
P0300,Pijama,Ropa,217,66,121,2025-02-24,12
P0301,Juguete para perro,Mascotas,145,7,144,2025-01-30,237
P0302,Cepillo facial,Belleza,113,9,104,2025-09-05,364
P0303,Arena para gato,Mascotas,295,25,84,2025-08-19,288
P0304,Shampoo canino,Mascotas,281,42,142,2025-10-19,151
P0305,Organizador plastico,Hogar,75,6,75,2025-11-19,180
P0306,Crema hidratante,Belleza,205,59,6,2025-05-23,342
P0307,Farol decorativo,Decoracion,21,53,42,2025-06-15,82
P0308,Vaporizador de bambu,Cocina,225,34,134,2025-03-08,336
P0309,Crema hidratante,Belleza,82,19,149,2025-06-12,66
P0310,Escoba plegable,Hogar,215,24,10,2025-01-25,281
P0311,Mini ventilador USB,Electronica,173,18,65,2025-04-20,336
P0312,Luz LED USB,Electronica,34,17,117,2025-01-25,79
P0313,Te verde japones,Comida Asiatica,21,36,128,2025-04-06,92
P0314,Fideos udon,Comida Asiatica,169,47,130,2025-03-01,151
P0315,Sarten antiadherente,Cocina,14,38,10,2025-12-11,130
P0316,Organizador plastico,Hogar,65,77,83,2025-04-09,149
P0317,Medias termicas,Ropa,272,20,97,2025-09-17,260
P0318,Mascarilla coreana,Belleza,110,56,52,2025-05-04,231
P0319,Escoba plegable,Hogar,125,67,62,2025-09-13,7
P0320,Luz LED USB,Electronica,238,9,130,2025-03-03,219
P0321,Farol decorativo,Decoracion,239,25,138,2025-11-10,65
P0322,Farol decorativo,Decoracion,251,57,82,2025-06-22,160
P0323,Ramen coreano,Comida Asiatica,197,15,149,2025-11-04,256
P0324,Mascarilla coreana,Belleza,291,72,34,2025-02-21,112
P0325,Repisa modular,Hogar,236,56,42,2025-01-21,42
P0326,Arena para gato,Mascotas,201,21,120,2025-05-09,130
P0327,Correa retractil,Mascotas,251,62,21,2025-10-11,203
P0328,Crema hidratante,Belleza,273,63,79,2025-12-09,344
P0329,Palillos chinos,Cocina,96,12,77,2025-07-19,87
P0330,Shampoo canino,Mascotas,161,21,133,2025-05-28,277
P0331,Lapicero gel,Papeleria,237,15,143,2025-07-30,28
P0332,Sarten antiadherente,Cocina,270,9,94,2025-12-18,8
P0333,Cable Tipo C,Electronica,229,12,104,2025-11-25,49
P0334,Mochi,Comida Asiatica,87,45,122,2025-04-29,190
P0335,Caja multiuso,Hogar,158,40,140,2025-12-13,258
P0336,Mini ventilador USB,Electronica,190,36,95,2025-10-15,288
P0337,Escoba plegable,Hogar,19,19,17,2025-07-02,153
P0338,Stickers decorativos,Papeleria,133,26,32,2025-06-23,113
P0339,Cuaderno kawaii,Papeleria,131,36,119,2025-02-08,268
P0340,Pijama,Ropa,27,25,141,2025-05-29,126
P0341,Lapicero gel,Papeleria,247,11,86,2025-05-30,235
P0342,Medias termicas,Ropa,294,17,2,2025-01-29,213
P0343,Salsa de soya,Comida Asiatica,59,27,88,2025-02-13,278
P0344,Incienso japones,Decoracion,193,7,118,2025-01-19,23
P0345,Cepillo facial,Belleza,290,12,106,2025-07-05,144
P0346,Cuaderno kawaii,Papeleria,270,7,132,2025-04-14,224
P0347,Escoba plegable,Hogar,19,25,128,2025-10-29,231
P0348,Organizador plastico,Hogar,121,17,137,2025-03-27,234
P0349,Audifonos Bluetooth,Electronica,218,18,121,2025-01-20,75
P0350,Sarten antiadherente,Cocina,79,60,101,2025-07-05,132
P0351,Mochi,Comida Asiatica,33,30,37,2025-08-18,310
P0352,Stickers decorativos,Papeleria,211,42,4,2025-07-07,57
P0353,Ramen coreano,Comida Asiatica,128,75,4,2025-08-09,14
P0354,Taza termica,Cocina,238,62,55,2025-09-11,24
P0355,Caja multiuso,Hogar,91,23,60,2025-11-01,319
P0356,Vaporizador de bambu,Cocina,161,34,58,2025-04-27,356
P0357,Taza termica,Cocina,182,59,113,2025-07-02,146
P0358,Ramen coreano,Comida Asiatica,260,51,57,2025-04-28,301
P0359,Arena para gato,Mascotas,207,8,148,2025-08-28,47
P0360,Cable Tipo C,Electronica,87,79,103,2025-05-17,90
P0361,Incienso japones,Decoracion,70,14,50,2025-09-16,107
P0362,Shampoo canino,Mascotas,207,55,147,2025-02-04,302
P0363,Palillos chinos,Cocina,58,25,74,2025-07-11,261
P0364,Fideos udon,Comida Asiatica,269,43,129,2025-10-07,313
P0365,Ramen coreano,Comida Asiatica,191,50,60,2025-12-30,188
P0366,Pijama,Ropa,93,28,36,2025-08-01,364
P0367,Audifonos Bluetooth,Electronica,172,59,14,2025-04-30,336
P0368,Cable Tipo C,Electronica,115,74,44,2025-11-25,301
P0369,Salsa de soya,Comida Asiatica,93,61,21,2025-07-15,178
P0370,Plato para mascotas,Mascotas,16,74,127,2025-06-09,248
P0371,Te verde japones,Comida Asiatica,163,18,57,2025-06-14,314
P0372,Farol decorativo,Decoracion,78,7,87,2025-08-06,305
P0373,Sarten antiadherente,Cocina,170,54,117,2025-07-15,327
P0374,Cable Tipo C,Electronica,298,28,61,2025-03-02,354
P0375,Pijama,Ropa,95,53,17,2025-04-08,198
P0376,Organizador plastico,Hogar,14,6,22,2025-04-22,57
P0377,Caja multiuso,Hogar,107,20,112,2025-05-05,167
P0378,Audifonos Bluetooth,Electronica,68,14,99,2025-07-11,243
P0379,Shampoo canino,Mascotas,29,30,127,2025-03-09,214
P0380,Cuaderno kawaii,Papeleria,88,18,125,2025-06-17,58
P0381,Correa retractil,Mascotas,257,7,44,2025-04-07,42
P0382,Salsa de soya,Comida Asiatica,271,43,23,2025-03-30,178
P0383,Palillos chinos,Cocina,276,16,74,2025-01-08,297
P0384,Te verde japones,Comida Asiatica,94,76,55,2025-02-16,238
P0385,Lapicero gel,Papeleria,51,64,12,2025-09-20,336
P0386,Palillos chinos,Cocina,268,31,114,2025-12-29,40
P0387,Mini ventilador USB,Electronica,229,5,8,2025-04-11,176
P0388,Farol decorativo,Decoracion,255,23,32,2025-05-17,12
P0389,Mascarilla coreana,Belleza,72,25,13,2025-06-11,260
P0390,Luz LED USB,Electronica,232,63,128,2025-10-10,325
P0391,Pijama,Ropa,205,29,148,2025-06-03,133
P0392,Palillos chinos,Cocina,274,54,134,2025-07-30,60
P0393,Pijama,Ropa,222,7,76,2025-10-13,277
P0394,Lapicero gel,Papeleria,199,37,34,2025-02-10,307
P0395,Caja multiuso,Hogar,84,61,23,2025-06-25,150
P0396,Shampoo canino,Mascotas,117,15,94,2025-09-28,347
P0397,Palillos chinos,Cocina,221,20,66,2025-09-05,156
P0398,Crema hidratante,Belleza,210,24,124,2025-01-01,247
P0399,Cepillo facial,Belleza,76,8,47,2025-10-21,143
P0400,Figura Feng Shui,Decoracion,126,57,46,2025-05-22,39
P0401,Pijama,Ropa,261,10,91,2025-12-20,46
P0402,Luz LED USB,Electronica,109,76,35,2025-05-27,30
P0403,Ramen coreano,Comida Asiatica,290,44,88,2025-09-27,154
P0404,Cable Tipo C,Electronica,159,52,83,2025-04-20,275
P0405,Polo basico,Ropa,215,67,73,2025-09-08,124
P0406,Mascarilla coreana,Belleza,284,51,142,2025-04-30,317
P0407,Ramen coreano,Comida Asiatica,295,13,64,2025-06-10,308
P0408,Medias termicas,Ropa,212,57,78,2025-08-10,41
P0409,Salsa de soya,Comida Asiatica,77,12,2,2025-12-27,125
P0410,Mini ventilador USB,Electronica,129,59,16,2025-03-03,158
P0411,Sarten antiadherente,Cocina,73,54,149,2025-11-21,304
P0412,Te verde japones,Comida Asiatica,181,37,137,2025-11-20,35
P0413,Correa retractil,Mascotas,225,69,8,2025-10-28,343
P0414,Lapicero gel,Papeleria,85,50,47,2025-01-15,361
P0415,Vaporizador de bambu,Cocina,102,26,21,2025-11-03,38
P0416,Ramen coreano,Comida Asiatica,166,55,132,2025-11-07,348
P0417,Mochi,Comida Asiatica,76,70,91,2025-12-27,257
P0418,Stickers decorativos,Papeleria,271,29,145,2025-03-02,268
P0419,Luz LED USB,Electronica,292,12,124,2025-12-28,93
P0420,Plato para mascotas,Mascotas,151,39,84,2025-11-08,177
P0421,Mini ventilador USB,Electronica,199,12,43,2025-12-19,90
P0422,Mascarilla coreana,Belleza,254,53,62,2025-04-16,363
