codigo_producto,nombre_producto,categoria,stock_actual,stock_minimo,cantidad_vendida,fecha_venta,dias_para_vencer,stock_norm,ventas_norm,nivel_rotacion,indice_rotacion,urgencia_stock,riesgo_vencimiento
P0022,Salsa de soya,Comida Asiatica,137,66,129,2025-10-10,121,0.4409722222222222,0.8648648648648649,Alta,0.9416058394160584,0.48175182481751827,0
P0023,Te verde japones,Comida Asiatica,242,7,103,2025-07-17,137,0.8055555555555555,0.6891891891891891,Alta,0.4256198347107438,0.028925619834710745,0
P0024,Incienso japones,Decoracion,243,48,59,2025-06-09,96,0.8090277777777778,0.3918918918918919,Media,0.24279835390946503,0.19753086419753085,0
P0025,Cuaderno kawaii,Papeleria,189,66,52,2025-09-25,295,0.6215277777777778,0.3445945945945946,Baja,0.2751322751322751,0.3492063492063492,0
P0026,Escoba plegable,Hogar,122,60,81,2025-07-06,113,0.3888888888888889,0.5405405405405406,Media,0.6639344262295082,0.4918032786885246,0
P0027,Caja multiuso,Hogar,229,58,87,2025-08-12,225,0.7604166666666666,0.581081081081081,Media,0.3799126637554585,0.25327510917030566,0
P0028,Plato para mascotas,Mascotas,135,6,53,2025-06-21,218,0.4340277777777778,0.3513513513513513,Media,0.3925925925925926,0.044444444444444446,0
P0029,Audifonos Bluetooth,Electronica,256,72,123,2025-09-12,294,0.8541666666666666,0.8243243243243243,Alta,0.48046875,0.28125,0
P0030,Cuaderno kawaii,Papeleria,107,74,139,2025-08-28,144,0.3368055555555555,0.9324324324324323,Alta,1.2990654205607477,0.6915887850467289,0
P0031,Arena para gato,Mascotas,133,63,70,2025-12-15,259,0.4270833333333333,0.4662162162162163,Media,0.5263157894736842,0.47368421052631576,0
P0032,Mochi,Comida Asiatica,156,24,96,2025-07-18,308,0.5069444444444444,0.6418918918918919,Media,0.6153846153846154,0.15384615384615385,0
P0033,Polo basico,Ropa,137,43,82,2025-12-26,129,0.4409722222222222,0.5472972972972973,Media,0.5985401459854015,0.31386861313868614,0
P0034,Polo basico,Ropa,160,35,42,2025-04-09,263,0.5208333333333334,0.277027027027027,Baja,0.2625,0.21875,0
P0035,Polo basico,Ropa,11,5,48,2025-09-11,140,0.0034722222222222,0.3175675675675676,Baja,4.363636363636363,0.45454545454545453,0
P0036,Incienso japones,Decoracion,169,13,99,2025-05-27,304,0.5520833333333333,0.6621621621621622,Media,0.5857988165680473,0.07692307692307693,0
P0037,Taza termica,Cocina,161,58,120,2025-06-10,116,0.5243055555555556,0.8040540540540541,Alta,0.7453416149068323,0.36024844720496896,0
P0038,Juguete para perro,Mascotas,113,29,93,2025-12-04,194,0.3576388888888889,0.6216216216216216,Media,0.8230088495575221,0.25663716814159293,0
P0039,Cable Tipo C,Electronica,217,65,68,2025-10-16,277,0.71875,0.4527027027027027,Media,0.31336405529953915,0.2995391705069124,0
P0040,Salsa de soya,Comida Asiatica,137,37,115,2025-01-22,238,0.4409722222222222,0.7702702702702703,Alta,0.8394160583941606,0.27007299270072993,0
P0041,Luz LED USB,Electronica,60,58,8,2025-10-10,27,0.1736111111111111,0.0472972972972973,Baja,0.13333333333333333,0.9666666666666667,1
P0042,Organizador plastico,Hogar,295,32,111,2025-11-13,304,0.9895833333333334,0.7432432432432432,Alta,0.376271186440678,0.10847457627118644,0
P0043,Taza termica,Cocina,44,68,49,2025-01-17,172,0.1180555555555555,0.3243243243243243,Baja,1.1136363636363635,1.5454545454545454,0
P0044,Farol decorativo,Decoracion,108,41,24,2025-12-15,302,0.3402777777777778,0.1554054054054054,Baja,0.2222222222222222,0.37962962962962965,0
P0045,Figura Feng Shui,Decoracion,108,64,116,2025-07-10,253,0.3402777777777778,0.777027027027027,Alta,1.0740740740740742,0.5925925925925926,0
P0046,Figura Feng Shui,Decoracion,170,71,128,2025-01-18,281,0.5555555555555556,0.8581081081081081,Alta,0.7529411764705882,0.4176470588235294,0
P0047,Luz LED USB,Electronica,183,28,114,2025-10-15,342,0.6006944444444444,0.7635135135135135,Alta,0.6229508196721312,0.15300546448087432,0
P0048,Crema hidratante,Belleza,136,31,130,2025-09-30,104,0.4375,0.8716216216216216,Alta,0.9558823529411765,0.22794117647058823,0
P0049,Arena para gato,Mascotas,255,52,39,2025-06-19,247,0.8506944444444444,0.2567567567567568,Baja,0.15294117647058825,0.20392156862745098,0
P0050,Vaporizador de bambu,Cocina,22,64,135,2025-11-09,36,0.0416666666666666,0.9054054054054054,Alta,6.136363636363637,2.909090909090909,0
P0051,Ramen coreano,Comida Asiatica,273,20,142,2025-05-23,92,0.9131944444444444,0.9527027027027029,Alta,0.5201465201465202,0.07326007326007326,0
P0052,Caja multiuso,Hogar,297,67,86,2025-02-20,153,0.9965277777777778,0.5743243243243243,Media,0.2895622895622896,0.2255892255892256,0
P0053,Luz LED USB,Electronica,67,53,70,2025-09-28,54,0.1979166666666666,0.4662162162162163,Media,1.044776119402985,0.7910447761194029,0
P0054,Incienso japones,Decoracion,273,57,60,2025-04-18,5,0.9131944444444444,0.3986486486486487,Media,0.21978021978021978,0.2087912087912088,1
P0055,Crema hidratante,Belleza,56,59,52,2025-05-24,269,0.1597222222222222,0.3445945945945946,Baja,0.9285714285714286,1.0535714285714286,0
P0056,Repisa modular,Hogar,115,34,147,2025-05-25,120,0.3645833333333333,0.9864864864864864,Alta,1.2782608695652173,0.2956521739130435,0
P0057,Taza termica,Cocina,67,59,90,2025-08-17,117,0.1979166666666666,0.6013513513513513,Media,1.3432835820895523,0.8805970149253731,0
P0058,Cepillo facial,Belleza,138,62,122,2025-01-01,239,0.4444444444444444,0.8175675675675675,Alta,0.8840579710144928,0.4492753623188406,0
P0059,Repisa modular,Hogar,135,52,89,2025-08-25,272,0.4340277777777778,0.5945945945945946,Media,0.6592592592592592,0.3851851851851852,0
P0060,Cepillo facial,Belleza,78,26,93,2025-09-04,76,0.2361111111111111,0.6216216216216216,Media,1.1923076923076923,0.3333333333333333,0
P0061,Palillos chinos,Cocina,95,61,29,2025-08-08,69,0.2951388888888889,0.1891891891891892,Baja,0.30526315789473685,0.6421052631578947,0
P0062,Juguete para perro,Mascotas,213,20,85,2025-02-08,100,0.704861111111111,0.5675675675675675,Media,0.39906103286384975,0.09389671361502347,0
P0063,Shampoo canino,Mascotas,32,14,69,2025-04-10,290,0.0763888888888888,0.4594594594594595,Media,2.15625,0.4375,0
P0064,Fideos udon,Comida Asiatica,259,23,96,2025-09-14,325,0.8645833333333333,0.6418918918918919,Media,0.37065637065637064,0.0888030888030888,0
P0065,Fideos udon,Comida Asiatica,169,28,140,2025-06-27,163,0.5520833333333333,0.9391891891891893,Alta,0.8284023668639053,0.16568047337278108,0
P0066,Arena para gato,Mascotas,188,47,101,2025-09-25,323,0.6180555555555556,0.6756756756756757,Alta,0.5372340425531915,0.25,0
P0067,Arena para gato,Mascotas,177,78,43,2025-02-13,285,0.579861111111111,0.2837837837837838,Baja,0.24293785310734464,0.4406779661016949,0
P0068,Organizador plastico,Hogar,251,39,81,2025-03-31,264,0.8368055555555555,0.5405405405405406,Media,0.32270916334661354,0.1553784860557769,0
P0069,Escoba plegable,Hogar,114,11,58,2025-04-24,75,0.3611111111111111,0.3851351351351351,Media,0.5087719298245614,0.09649122807017543,0
P0070,Cuaderno kawaii,Papeleria,286,40,138,2025-12-23,192,0.9583333333333331,0.9256756756756755,Alta,0.4825174825174825,0.13986013986013987,0
P0071,Palillos chinos,Cocina,108,40,96,2025-06-01,151,0.3402777777777778,0.6418918918918919,Media,0.8888888888888888,0.37037037037037035,0
P0072,Incienso japones,Decoracion,192,17,23,2025-08-05,355,0.6319444444444444,0.1486486486486486,Baja,0.11979166666666667,0.08854166666666667,0
P0073,Medias termicas,Ropa,282,66,84,2025-08-05,342,0.9444444444444444,0.5608108108108107,Media,0.2978723404255319,0.23404255319148937,0
P0074,Palillos chinos,Cocina,109,16,147,2025-03-17,265,0.34375,0.9864864864864864,Alta,1.348623853211009,0.14678899082568808,0
P0075,Crema hidratante,Belleza,232,56,83,2025-05-24,69,0.7708333333333333,0.5540540540540541,Media,0.3577586206896552,0.2413793103448276,0
P0076,Taza termica,Cocina,34,56,123,2025-02-22,151,0.0833333333333333,0.8243243243243243,Alta,3.6176470588235294,1.6470588235294117,0
P0077,Pijama,Ropa,118,57,42,2025-07-05,223,0.375,0.277027027027027,Baja,0.3559322033898305,0.4830508474576271,0
P0078,Figura Feng Shui,Decoracion,224,79,146,2025-08-27,76,0.7430555555555555,0.9797297297297296,Alta,0.6517857142857143,0.35267857142857145,0
P0079,Medias termicas,Ropa,262,11,141,2025-06-17,170,0.875,0.945945945945946,Alta,0.5381679389312977,0.04198473282442748,0
P0080,Medias termicas,Ropa,292,70,5,2025-01-29,165,0.9791666666666666,0.027027027027027,Baja,0.017123287671232876,0.23972602739726026,0
P0081,Cable Tipo C,Electronica,145,69,86,2025-05-25,327,0.46875,0.5743243243243243,Media,0.593103448275862,0.47586206896551725,0
P0082,Polo basico,Ropa,141,40,70,2025-09-09,275,0.4548611111111111,0.4662162162162163,Media,0.49645390070921985,0.28368794326241137,0
P0083,Cable Tipo C,Electronica,100,78,90,2025-01-19,39,0.3125,0.6013513513513513,Media,0.9,0.78,0
P0084,Palillos chinos,Cocina,150,62,148,2025-11-13,361,0.486111111111111,0.9932432432432432,Alta,0.9866666666666667,0.41333333333333333,0
P0085,Mascarilla coreana,Belleza,199,67,113,2025-11-08,117,0.65625,0.7567567567567568,Alta,0.5678391959798995,0.33668341708542715,0
P0086,Luz LED USB,Electronica,53,49,61,2025-10-30,149,0.1493055555555555,0.4054054054054054,Media,1.150943396226415,0.9245283018867925,0
P0087,Mini ventilador USB,Electronica,212,40,147,2025-01-20,47,0.7013888888888888,0.9864864864864864,Alta,0.6933962264150944,0.18867924528301888,0
P0088,Polo basico,Ropa,23,19,1,2025-02-23,259,0.0451388888888888,0.0,Baja,0.043478260869565216,0.8260869565217391,0
P0089,Mascarilla coreana,Belleza,21,78,16,2025-12-24,156,0.0381944444444444,0.1013513513513513,Baja,0.7619047619047619,3.7142857142857144,0
P0090,Farol decorativo,Decoracion,173,12,60,2025-06-27,28,0.5659722222222222,0.3986486486486487,Media,0.3468208092485549,0.06936416184971098,1
P0091,Incienso japones,Decoracion,237,68,145,2025-07-20,212,0.7881944444444444,0.972972972972973,Alta,0.6118143459915611,0.2869198312236287,0
P0092,Palillos chinos,Cocina,91,73,47,2025-01-10,312,0.28125,0.3108108108108108,Baja,0.5164835164835165,0.8021978021978022,0
P0093,Escoba plegable,Hogar,14,37,118,2025-03-06,146,0.0138888888888888,0.7905405405405406,Alta,8.428571428571429,2.642857142857143,0
P0094,Plato para mascotas,Mascotas,291,67,86,2025-11-11,283,0.9756944444444444,0.5743243243243243,Media,0.29553264604810997,0.23024054982817868,0
P0095,Shampoo canino,Mascotas,107,5,149,2025-11-07,6,0.3368055555555555,1.0,Alta,1.3925233644859814,0.04672897196261682,1
P0096,Shampoo canino,Mascotas,142,7,23,2025-02-22,165,0.4583333333333333,0.1486486486486486,Baja,0.1619718309859155,0.04929577464788732,0
P0097,Palillos chinos,Cocina,94,77,110,2025-01-01,51,0.2916666666666667,0.7364864864864865,Alta,1.1702127659574468,0.8191489361702128,0
P0098,Ramen coreano,Comida Asiatica,297,38,92,2025-04-05,72,0.9965277777777778,0.6148648648648649,Media,0.30976430976430974,0.12794612794612795,0
P0099,Crema hidratante,Belleza,259,38,118,2025-09-16,306,0.8645833333333333,0.7905405405405406,Alta,0.4555984555984556,0.14671814671814673,0
P0100,Juguete para perro,Mascotas,231,61,145,2025-04-22,255,0.767361111111111,0.972972972972973,Alta,0.6277056277056277,0.26406926406926406,0
P0101,Cepillo facial,Belleza,238,18,66,2025-03-16,103,0.7916666666666666,0.4391891891891892,Media,0.2773109243697479,0.07563025210084033,0
P0102,Audifonos Bluetooth,Electronica,261,42,50,2025-04-08,338,0.8715277777777778,0.3310810810810811,Baja,0.19157088122605365,0.16091954022988506,0
P0103,Sarten antiadherente,Cocina,258,42,79,2025-01-30,247,0.861111111111111,0.527027027027027,Media,0.3062015503875969,0.16279069767441862,0
P0104,Palillos chinos,Cocina,142,33,132,2025-05-18,184,0.4583333333333333,0.8851351351351351,Alta,0.9295774647887324,0.2323943661971831,0
P0105,Correa retractil,Mascotas,282,73,34,2025-09-19,53,0.9444444444444444,0.2229729729729729,Baja,0.12056737588652482,0.25886524822695034,0
P0106,Organizador plastico,Hogar,135,47,115,2025-04-21,249,0.4340277777777778,0.7702702702702703,Alta,0.8518518518518519,0.34814814814814815,0
P0107,Cepillo facial,Belleza,104,79,118,2025-01-08,360,0.3263888888888889,0.7905405405405406,Alta,1.1346153846153846,0.7596153846153846,0
P0108,Ramen coreano,Comida Asiatica,204,71,93,2025-06-09,61,0.673611111111111,0.6216216216216216,Media,0.45588235294117646,0.3480392156862745,0
P0109,Sarten antiadherente,Cocina,286,9,92,2025-06-19,317,0.9583333333333331,0.6148648648648649,Media,0.32167832167832167,0.03146853146853147,0
P0110,Mini ventilador USB,Electronica,10,9,12,2025-12-12,46,0.0,0.0743243243243243,Baja,1.2,0.9,0
P0111,Organizador plastico,Hogar,87,49,73,2025-10-09,249,0.2673611111111111,0.4864864864864865,Media,0.8390804597701149,0.5632183908045977,0
P0112,Medias termicas,Ropa,248,60,94,2025-04-17,319,0.8263888888888888,0.6283783783783784,Media,0.3790322580645161,0.24193548387096775,0
P0113,Correa retractil,Mascotas,266,12,113,2025-12-21,253,0.8888888888888888,0.7567567567567568,Alta,0.424812030075188,0.045112781954887216,0
P0114,Fideos udon,Comida Asiatica,37,6,109,2025-06-03,14,0.0937499999999999,0.7297297297297297,Alta,2.945945945945946,0.16216216216216217,1
P0115,Stickers decorativos,Papeleria,16,7,111,2025-08-26,363,0.0208333333333333,0.7432432432432432,Alta,6.9375,0.4375,0
P0116,Caja multiuso,Hogar,236,19,119,2025-01-28,202,0.7847222222222222,0.7972972972972973,Alta,0.5042372881355932,0.08050847457627118,0
P0117,Mascarilla coreana,Belleza,282,48,25,2025-05-25,13,0.9444444444444444,0.1621621621621621,Baja,0.08865248226950355,0.1702127659574468,1
P0118,Ramen coreano,Comida Asiatica,77,14,67,2025-08-21,109,0.2326388888888889,0.445945945945946,Media,0.8701298701298701,0.18181818181818182,0
P0119,Escoba plegable,Hogar,237,38,111,2025-09-21,236,0.7881944444444444,0.7432432432432432,Alta,0.46835443037974683,0.16033755274261605,0
P0120,Vaporizador de bambu,Cocina,110,10,26,2025-11-16,226,0.3472222222222222,0.1689189189189189,Baja,0.23636363636363636,0.09090909090909091,0
P0121,Stickers decorativos,Papeleria,238,37,21,2025-07-17,70,0.7916666666666666,0.1351351351351351,Baja,0.08823529411764706,0.15546218487394958,0
P0122,Crema hidratante,Belleza,104,28,55,2025-05-17,247,0.3263888888888889,0.3648648648648649,Media,0.5288461538461539,0.2692307692307692,0
P0123,Sarten antiadherente,Cocina,40,44,36,2025-08-11,6,0.1041666666666666,0.2364864864864865,Baja,0.9,1.1,1
P0124,Repisa modular,Hogar,229,79,4,2025-12-01,134,0.7604166666666666,0.0202702702702702,Baja,0.017467248908296942,0.34497816593886466,0
P0125,Mini ventilador USB,Electronica,103,55,62,2025-07-13,335,0.3229166666666667,0.4121621621621622,Media,0.6019417475728155,0.5339805825242718,0
P0126,Lapicero gel,Papeleria,182,48,133,2025-11-22,118,0.5972222222222222,0.8918918918918919,Alta,0.7307692307692307,0.26373626373626374,0
P0127,Salsa de soya,Comida Asiatica,221,24,113,2025-05-20,47,0.7326388888888888,0.7567567567567568,Alta,0.5113122171945701,0.1085972850678733,0
P0128,Correa retractil,Mascotas,151,68,38,2025-10-20,139,0.4895833333333333,0.25,Baja,0.25165562913907286,0.4503311258278146,0
P0129,Te verde japones,Comida Asiatica,268,37,134,2025-06-27,10,0.8958333333333333,0.8986486486486487,Alta,0.5,0.13805970149253732,1
P0130,Figura Feng Shui,Decoracion,147,48,130,2025-01-13,168,0.4756944444444444,0.8716216216216216,Alta,0.8843537414965986,0.32653061224489793,0
P0131,Repisa modular,Hogar,110,77,17,2025-09-22,38,0.3472222222222222,0.1081081081081081,Baja,0.15454545454545454,0.7,0
P0132,Cepillo facial,Belleza,103,53,69,2025-11-14,236,0.3229166666666667,0.4594594594594595,Media,0.6699029126213593,0.5145631067961165,0
P0133,Caja multiuso,Hogar,146,38,76,2025-02-04,1,0.4722222222222222,0.5067567567567568,Media,0.5205479452054794,0.2602739726027397,1
P0134,Lapicero gel,Papeleria,69,68,93,2025-11-24,267,0.2048611111111111,0.6216216216216216,Media,1.3478260869565217,0.9855072463768116,0
P0135,Polo basico,Ropa,279,64,30,2025-10-18,213,0.9340277777777778,0.1959459459459459,Baja,0.10752688172043011,0.22939068100358423,0
P0136,Incienso japones,Decoracion,87,30,62,2025-05-12,89,0.2673611111111111,0.4121621621621622,Media,0.7126436781609196,0.3448275862068966,0
P0137,Medias termicas,Ropa,113,18,32,2025-06-28,125,0.3576388888888889,0.2094594594594594,Baja,0.2831858407079646,0.1592920353982301,0
P0138,Mini ventilador USB,Electronica,32,67,143,2025-06-02,145,0.0763888888888888,0.9594594594594594,Alta,4.46875,2.09375,0
P0139,Correa retractil,Mascotas,113,55,39,2025-07-17,134,0.3576388888888889,0.2567567567567568,Baja,0.34513274336283184,0.48672566371681414,0
P0140,Sarten antiadherente,Cocina,188,76,42,2025-01-15,111,0.6180555555555556,0.277027027027027,Baja,0.22340425531914893,0.40425531914893614,0
P0141,Juguete para perro,Mascotas,240,31,38,2025-04-07,289,0.798611111111111,0.25,Baja,0.15833333333333333,0.12916666666666668,0
P0142,Fideos udon,Comida Asiatica,19,9,123,2025-11-26,353,0.03125,0.8243243243243243,Alta,6.473684210526316,0.47368421052631576,0
P0143,Luz LED USB,Electronica,168,51,109,2025-08-04,184,0.548611111111111,0.7297297297297297,Alta,0.6488095238095238,0.30357142857142855,0
P0144,Cuaderno kawaii,Papeleria,166,51,68,2025-11-28,173,0.5416666666666666,0.4527027027027027,Media,0.40963855421686746,0.3072289156626506,0
P0145,Escoba plegable,Hogar,104,40,36,2025-10-09,299,0.3263888888888889,0.2364864864864865,Baja,0.34615384615384615,0.38461538461538464,0
P0146,Figura Feng Shui,Decoracion,263,78,104,2025-02-07,134,0.8784722222222222,0.6959459459459459,Alta,0.39543726235741444,0.2965779467680608,0
P0147,Stickers decorativos,Papeleria,227,17,104,2025-07-29,111,0.7534722222222222,0.6959459459459459,Alta,0.4581497797356828,0.07488986784140969,0
P0148,Stickers decorativos,Papeleria,142,41,72,2025-05-07,106,0.4583333333333333,0.4797297297297297,Media,0.5070422535211268,0.2887323943661972,0
P0149,Juguete para perro,Mascotas,296,13,51,2025-01-29,296,0.9930555555555556,0.3378378378378379,Baja,0.17229729729729729,0.04391891891891892,0
P0150,Medias termicas,Ropa,276,27,1,2025-10-29,101,0.923611111111111,0.0,Baja,0.0036231884057971015,0.09782608695652174,0
P0151,Farol decorativo,Decoracion,119,40,57,2025-01-01,319,0.3784722222222222,0.3783783783783784,Media,0.4789915966386555,0.33613445378151263,0
P0152,Cable Tipo C,Electronica,158,51,53,2025-05-17,202,0.5138888888888888,0.3513513513513513,Media,0.33544303797468356,0.3227848101265823,0
P0153,Ramen coreano,Comida Asiatica,126,30,35,2025-03-04,244,0.4027777777777778,0.2297297297297297,Baja,0.2777777777777778,0.23809523809523808,0
P0154,Medias termicas,Ropa,84,42,130,2025-07-29,347,0.2569444444444444,0.8716216216216216,Alta,1.5476190476190477,0.5,0
P0155,Plato para mascotas,Mascotas,260,55,25,2025-06-29,198,0.8680555555555555,0.1621621621621621,Baja,0.09615384615384616,0.21153846153846154,0
P0156,Incienso japones,Decoracion,186,33,63,2025-05-30,154,0.611111111111111,0.4189189189189189,Media,0.3387096774193548,0.1774193548387097,0
P0157,Organizador plastico,Hogar,58,75,81,2025-03-25,361,0.1666666666666666,0.5405405405405406,Media,1.396551724137931,1.293103448275862,0
P0158,Juguete para perro,Mascotas,127,67,104,2025-02-18,327,0.40625,0.6959459459459459,Alta,0.8188976377952756,0.5275590551181102,0
P0159,Shampoo canino,Mascotas,224,55,123,2025-07-30,318,0.7430555555555555,0.8243243243243243,Alta,0.5491071428571429,0.24553571428571427,0
P0160,Shampoo canino,Mascotas,295,20,19,2025-01-18,257,0.9895833333333334,0.1216216216216216,Baja,0.06440677966101695,0.06779661016949153,0
P0161,Sarten antiadherente,Cocina,203,42,63,2025-05-12,264,0.6701388888888888,0.4189189189189189,Media,0.3103448275862069,0.20689655172413793,0
P0162,Cepillo facial,Belleza,140,36,10,2025-06-11,87,0.4513888888888889,0.0608108108108108,Baja,0.07142857142857142,0.2571428571428571,0
P0163,Crema hidratante,Belleza,17,69,57,2025-09-04,323,0.0243055555555555,0.3783783783783784,Media,3.3529411764705883,4.0588235294117645,0
P0164,Stickers decorativos,Papeleria,264,76,54,2025-09-06,239,0.8819444444444444,0.3581081081081081,Media,0.20454545454545456,0.2878787878787879,0
P0165,Figura Feng Shui,Decoracion,60,12,35,2025-04-06,88,0.1736111111111111,0.2297297297297297,Baja,0.5833333333333334,0.2,0
P0166,Lapicero gel,Papeleria,174,58,142,2025-08-11,311,0.5694444444444444,0.9527027027027029,Alta,0.8160919540229885,0.3333333333333333,0
P0167,Escoba plegable,Hogar,272,37,85,2025-05-27,112,0.9097222222222222,0.5675675675675675,Media,0.3125,0.13602941176470587,0
P0168,Taza termica,Cocina,294,64,82,2025-01-02,303,0.986111111111111,0.5472972972972973,Media,0.2789115646258503,0.21768707482993196,0
P0169,Figura Feng Shui,Decoracion,243,6,119,2025-01-20,261,0.8090277777777778,0.7972972972972973,Alta,0.4897119341563786,0.024691358024691357,0
P0170,Farol decorativo,Decoracion,265,13,53,2025-12-21,342,0.8854166666666666,0.3513513513513513,Media,0.2,0.04905660377358491,0
P0171,Cuaderno kawaii,Papeleria,211,34,120,2025-02-28,215,0.6979166666666666,0.8040540540540541,Alta,0.5687203791469194,0.16113744075829384,0
P0172,Correa retractil,Mascotas,124,18,9,2025-02-09,237,0.3958333333333333,0.054054054054054,Baja,0.07258064516129033,0.14516129032258066,0
P0173,Pijama,Ropa,210,26,4,2025-06-03,29,0.6944444444444444,0.0202702702702702,Baja,0.01904761904761905,0.12380952380952381,1
P0174,Escoba plegable,Hogar,84,74,146,2025-05-08,341,0.2569444444444444,0.9797297297297296,Alta,1.7380952380952381,0.8809523809523809,0
P0175,Ramen coreano,Comida Asiatica,43,21,122,2025-03-17,87,0.1145833333333333,0.8175675675675675,Alta,2.8372093023255816,0.4883720930232558,0
P0176,Farol decorativo,Decoracion,36,61,31,2025-05-14,219,0.0902777777777777,0.2027027027027027,Baja,0.8611111111111112,1.6944444444444444,0
P0177,Lapicero gel,Papeleria,277,57,138,2025-06-22,190,0.9270833333333331,0.9256756756756755,Alta,0.4981949458483754,0.20577617328519857,0
P0178,Repisa modular,Hogar,202,55,36,2025-10-09,29,0.6666666666666666,0.2364864864864865,Baja,0.1782178217821782,0.2722772277227723,1
P0179,Figura Feng Shui,Decoracion,20,40,113,2025-07-06,295,0.0347222222222222,0.7567567567567568,Alta,5.65,2.0,0
P0180,Stickers decorativos,Papeleria,107,59,111,2025-06-01,246,0.3368055555555555,0.7432432432432432,Alta,1.0373831775700935,0.5514018691588785,0
P0181,Mini ventilador USB,Electronica,298,40,148,2025-08-15,244,1.0,0.9932432432432432,Alta,0.4966442953020134,0.1342281879194631,0
P0182,Plato para mascotas,Mascotas,210,30,73,2025-07-20,296,0.6944444444444444,0.4864864864864865,Media,0.3476190476190476,0.14285714285714285,0
P0183,Arena para gato,Mascotas,226,65,104,2025-02-11,25,0.75,0.6959459459459459,Alta,0.46017699115044247,0.28761061946902655,1
P0184,Cepillo facial,Belleza,140,48,102,2025-12-20,12,0.4513888888888889,0.6824324324324325,Alta,0.7285714285714285,0.34285714285714286,1
P0185,Palillos chinos,Cocina,53,63,49,2025-01-17,330,0.1493055555555555,0.3243243243243243,Baja,0.9245283018867925,1.1886792452830188,0
P0186,Pijama,Ropa,21,66,80,2025-08-04,339,0.0381944444444444,0.5337837837837838,Media,3.8095238095238093,3.142857142857143,0
P0187,Stickers decorativos,Papeleria,158,74,25,2025-03-30,268,0.5138888888888888,0.1621621621621621,Baja,0.15822784810126583,0.46835443037974683,0
P0188,Polo basico,Ropa,35,51,32,2025-09-23,16,0.0868055555555555,0.2094594594594594,Baja,0.9142857142857143,1.457142857142857,1
P0189,Mascarilla coreana,Belleza,291,11,14,2025-12-01,117,0.9756944444444444,0.0878378378378378,Baja,0.048109965635738834,0.037800687285223365,0
