codigo_producto,nombre_producto,categoria,nivel_rotacion,accion
P0169,Figura Feng Shui,Decoracion,Alta,Monitorear
P0170,Farol decorativo,Decoracion,Media,Monitorear
P0171,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0172,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0173,Pijama,Ropa,Baja,Alerta de sobrestock
P0174,Escoba plegable,Hogar,Alta,Monitorear
P0175,Ramen coreano,Comida Asiatica,Alta,Monitorear
P0176,Farol decorativo,Decoracion,Baja,Monitorear
P0177,Lapicero gel,Papeleria,Alta,Monitorear
P0178,Repisa modular,Hogar,Baja,Alerta de sobrestock
P0179,Figura Feng Shui,Decoracion,Alta,Reabastecimiento urgente
P0180,Stickers decorativos,Papeleria,Alta,Monitorear
P0181,Mini ventilador USB,Electronica,Alta,Monitorear
P0182,Plato para mascotas,Mascotas,Media,Monitorear
P0183,Arena para gato,Mascotas,Alta,Monitorear
P0184,Cepillo facial,Belleza,Alta,Promocionar producto
P0185,Palillos chinos,Cocina,Baja,Monitorear
P0186,Pijama,Ropa,Media,Monitorear
P0187,Stickers decorativos,Papeleria,Baja,Monitorear
P0188,Polo basico,Ropa,Baja,Monitorear
P0189,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0190,Mascarilla coreana,Belleza,Media,Monitorear
P0191,Salsa de soya,Comida Asiatica,Baja,Alerta de sobrestock
P0192,Taza termica,Cocina,Media,Monitorear
P0193,Lapicero gel,Papeleria,Baja,Alerta de sobrestock
P0194,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0195,Vaporizador de bambu,Cocina,Baja,Monitorear
P0196,Sarten antiadherente,Cocina,Baja,Monitorear
P0197,Pijama,Ropa,Alta,Monitorear
P0198,Plato para mascotas,Mascotas,Media,Monitorear
P0199,Polo basico,Ropa,Baja,Alerta de sobrestock
P0200,Incienso japones,Decoracion,Media,Monitorear
P0201,Organizador plastico,Hogar,Baja,Alerta de sobrestock
P0202,Te verde japones,Comida Asiatica,Alta,Monitorear
P0203,Organizador plastico,Hogar,Baja,Alerta de sobrestock
P0204,Farol decorativo,Decoracion,Baja,Monitorear
P0205,Shampoo canino,Mascotas,Alta,Promocionar producto
P0206,Vaporizador de bambu,Cocina,Media,Monitorear
P0207,Pijama,Ropa,Alta,Monitorear
P0208,Pijama,Ropa,Baja,Monitorear
P0209,Audifonos Bluetooth,Electronica,Media,Monitorear
P0210,Incienso japones,Decoracion,Baja,Monitorear
P0211,Vaporizador de bambu,Cocina,Media,Monitorear
P0212,Plato para mascotas,Mascotas,Media,Monitorear
P0213,Polo basico,Ropa,Baja,Monitorear
P0214,Pijama,Ropa,Alta,Monitorear
P0215,Farol decorativo,Decoracion,Media,Monitorear
P0216,Crema hidratante,Belleza,Baja,Alerta de sobrestock
P0217,Polo basico,Ropa,Media,Monitorear
P0218,Cable Tipo C,Electronica,Media,Monitorear
P0219,Incienso japones,Decoracion,Alta,Monitorear
P0220,Salsa de soya,Comida Asiatica,Baja,Alerta de sobrestock
P0221,Stickers decorativos,Papeleria,Baja,Alerta de sobrestock
P0222,Salsa de soya,Comida Asiatica,Alta,Monitorear
P0223,Plato para mascotas,Mascotas,Baja,Monitorear
P0224,Pijama,Ropa,Media,Monitorear
P0225,Salsa de soya,Comida Asiatica,Media,Monitorear
P0226,Figura Feng Shui,Decoracion,Alta,Monitorear
P0227,Cable Tipo C,Electronica,Media,Monitorear
P0228,Escoba plegable,Hogar,Media,Monitorear
P0229,Figura Feng Shui,Decoracion,Baja,Monitorear
P0230,Farol decorativo,Decoracion,Baja,Monitorear
P0231,Ramen coreano,Comida Asiatica,Media,Monitorear
P0232,Repisa modular,Hogar,Media,Monitorear
P0233,Cuaderno kawaii,Papeleria,Media,Monitorear
P0234,Polo basico,Ropa,Alta,Monitorear
P0235,Taza termica,Cocina,Media,Monitorear
P0236,Luz LED USB,Electronica,Media,Monitorear
P0237,Arena para gato,Mascotas,Alta,Monitorear
P0238,Crema hidratante,Belleza,Alta,Monitorear
P0239,Sarten antiadherente,Cocina,Media,Monitorear
P0240,Medias termicas,Ropa,Media,Monitorear
P0241,Salsa de soya,Comida Asiatica,Media,Monitorear
P0242,Luz LED USB,Electronica,Alta,Reabastecimiento urgente
P0243,Mascarilla coreana,Belleza,Alta,Reabastecimiento urgente
P0244,Te verde japones,Comida Asiatica,Baja,Alerta de sobrestock
P0245,Caja multiuso,Hogar,Baja,Alerta de sobrestock
P0246,Pijama,Ropa,Baja,Alerta de sobrestock
P0247,Juguete para perro,Mascotas,Baja,Alerta de sobrestock
P0248,Mochi,Comida Asiatica,Media,Monitorear
P0249,Farol decorativo,Decoracion,Media,Monitorear
P0250,Sarten antiadherente,Cocina,Alta,Monitorear
P0251,Cuaderno kawaii,Papeleria,Baja,Alerta de sobrestock
P0252,Crema hidratante,Belleza,Alta,Monitorear
P0253,Mini ventilador USB,Electronica,Media,Promocionar producto
P0254,Stickers decorativos,Papeleria,Media,Monitorear
P0255,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0256,Vaporizador de bambu,Cocina,Media,Monitorear
P0257,Polo basico,Ropa,Baja,Alerta de sobrestock
P0258,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0259,Stickers decorativos,Papeleria,Alta,Monitorear
P0260,Organizador plastico,Hogar,Baja,Monitorear
P0261,Vaporizador de bambu,Cocina,Media,Monitorear
P0262,Te verde japones,Comida Asiatica,Alta,Monitorear
P0263,Pijama,Ropa,Baja,Alerta de sobrestock
P0264,Fideos udon,Comida Asiatica,Media,Monitorear
P0265,Mini ventilador USB,Electronica,Baja,Monitorear
P0266,Crema hidratante,Belleza,Baja,Alerta de sobrestock
P0267,Cuaderno kawaii,Papeleria,Media,Monitorear
P0268,Plato para mascotas,Mascotas,Media,Monitorear
P0269,Medias termicas,Ropa,Media,Monitorear
P0270,Polo basico,Ropa,Media,Monitorear
P0271,Pijama,Ropa,Alta,Monitorear
P0272,Pijama,Ropa,Media,Monitorear
P0273,Juguete para perro,Mascotas,Alta,Monitorear
P0274,Polo basico,Ropa,Alta,Monitorear
P0275,Lapicero gel,Papeleria,Media,Monitorear
P0276,Caja multiuso,Hogar,Baja,Alerta de sobrestock
P0277,Figura Feng Shui,Decoracion,Baja,Alerta de sobrestock
P0278,Repisa modular,Hogar,Alta,Monitorear
P0279,Figura Feng Shui,Decoracion,Baja,Alerta de sobrestock
P0280,Incienso japones,Decoracion,Media,Monitorear
P0281,Taza termica,Cocina,Alta,Monitorear
P0282,Fideos udon,Comida Asiatica,Baja,Alerta de sobrestock
P0283,Cuaderno kawaii,Papeleria,Alta,Reabastecimiento urgente
P0284,Juguete para perro,Mascotas,Alta,Monitorear
P0285,Farol decorativo,Decoracion,Baja,Alerta de sobrestock
P0286,Lapicero gel,Papeleria,Media,Monitorear
P0287,Correa retractil,Mascotas,Baja,Monitorear
P0288,Crema hidratante,Belleza,Media,Monitorear
P0289,Taza termica,Cocina,Alta,Monitorear
P0290,Figura Feng Shui,Decoracion,Alta,Monitorear
P0291,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0292,Escoba plegable,Hogar,Baja,Monitorear
P0293,Taza termica,Cocina,Baja,Alerta de sobrestock
P0294,Te verde japones,Comida Asiatica,Media,Monitorear
P0295,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0296,Figura Feng Shui,Decoracion,Baja,Alerta de sobrestock
P0297,Escoba plegable,Hogar,Media,Monitorear
P0298,Crema hidratante,Belleza,Media,Monitorear
P0299,Lapicero gel,Papeleria,Media,Monitorear
P0300,Pijama,Ropa,Alta,Promocionar producto
P0301,Juguete para perro,Mascotas,Alta,Monitorear
P0302,Cepillo facial,Belleza,Alta,Monitorear
P0303,Arena para gato,Mascotas,Media,Monitorear
P0304,Shampoo canino,Mascotas,Alta,Monitorear
P0305,Organizador plastico,Hogar,Media,Monitorear
P0306,Crema hidratante,Belleza,Baja,Alerta de sobrestock
P0307,Farol decorativo,Decoracion,Baja,Monitorear
P0308,Vaporizador de bambu,Cocina,Alta,Monitorear
P0309,Crema hidratante,Belleza,Alta,Monitorear
P0310,Escoba plegable,Hogar,Baja,Alerta de sobrestock
P0311,Mini ventilador USB,Electronica,Media,Monitorear
P0312,Luz LED USB,Electronica,Alta,Monitorear
P0313,Te verde japones,Comida Asiatica,Alta,Reabastecimiento urgente
P0314,Fideos udon,Comida Asiatica,Alta,Monitorear
P0315,Sarten antiadherente,Cocina,Baja,Monitorear
P0316,Organizador plastico,Hogar,Media,Monitorear
P0317,Medias termicas,Ropa,Media,Monitorear
P0318,Mascarilla coreana,Belleza,Baja,Monitorear
P0319,Escoba plegable,Hogar,Media,Promocionar producto
P0320,Luz LED USB,Electronica,Alta,Monitorear
P0321,Farol decorativo,Decoracion,Alta,Monitorear
P0322,Farol decorativo,Decoracion,Media,Monitorear
P0323,Ramen coreano,Comida Asiatica,Alta,Monitorear
P0324,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0325,Repisa modular,Hogar,Baja,Alerta de sobrestock
P0326,Arena para gato,Mascotas,Alta,Monitorear
P0327,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0328,Crema hidratante,Belleza,Media,Monitorear
P0329,Palillos chinos,Cocina,Media,Monitorear
P0330,Shampoo canino,Mascotas,Alta,Monitorear
P0331,Lapicero gel,Papeleria,Alta,Monitorear
P0332,Sarten antiadherente,Cocina,Media,Promocionar producto
P0333,Cable Tipo C,Electronica,Alta,Monitorear
P0334,Mochi,Comida Asiatica,Alta,Monitorear
P0335,Caja multiuso,Hogar,Alta,Monitorear
P0336,Mini ventilador USB,Electronica,Media,Monitorear
P0337,Escoba plegable,Hogar,Baja,Monitorear
P0338,Stickers decorativos,Papeleria,Baja,Alerta de sobrestock
P0339,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0340,Pijama,Ropa,Alta,Monitorear
P0341,Lapicero gel,Papeleria,Media,Monitorear
P0342,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0343,Salsa de soya,Comida Asiatica,Media,Monitorear
P0344,Incienso japones,Decoracion,Alta,Monitorear
P0345,Cepillo facial,Belleza,Alta,Monitorear
P0346,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0347,Escoba plegable,Hogar,Alta,Reabastecimiento urgente
P0348,Organizador plastico,Hogar,Alta,Monitorear
P0349,Audifonos Bluetooth,Electronica,Alta,Monitorear
P0350,Sarten antiadherente,Cocina,Alta,Monitorear
P0351,Mochi,Comida Asiatica,Baja,Monitorear
P0352,Stickers decorativos,Papeleria,Baja,Alerta de sobrestock
P0353,Ramen coreano,Comida Asiatica,Baja,Promocionar producto
P0354,Taza termica,Cocina,Media,Monitorear
P0355,Caja multiuso,Hogar,Media,Monitorear
P0356,Vaporizador de bambu,Cocina,Media,Monitorear
P0357,Taza termica,Cocina,Alta,Monitorear
P0358,Ramen coreano,Comida Asiatica,Media,Monitorear
P0359,Arena para gato,Mascotas,Alta,Monitorear
P0360,Cable Tipo C,Electronica,Alta,Monitorear
P0361,Incienso japones,Decoracion,Baja,Alerta de sobrestock
P0362,Shampoo canino,Mascotas,Alta,Monitorear
P0363,Palillos chinos,Cocina,Media,Monitorear
P0364,Fideos udon,Comida Asiatica,Alta,Monitorear
P0365,Ramen coreano,Comida Asiatica,Media,Monitorear
P0366,Pijama,Ropa,Baja,Alerta de sobrestock
P0367,Audifonos Bluetooth,Electronica,Baja,Monitorear
P0368,Cable Tipo C,Electronica,Baja,Monitorear
P0369,Salsa de soya,Comida Asiatica,Baja,Monitorear
P0370,Plato para mascotas,Mascotas,Alta,Reabastecimiento urgente
P0371,Te verde japones,Comida Asiatica,Media,Monitorear
P0372,Farol decorativo,Decoracion,Media,Monitorear
P0373,Sarten antiadherente,Cocina,Alta,Monitorear
P0374,Cable Tipo C,Electronica,Media,Monitorear
P0375,Pijama,Ropa,Baja,Monitorear
P0376,Organizador plastico,Hogar,Baja,Monitorear
P0377,Caja multiuso,Hogar,Alta,Monitorear
P0378,Audifonos Bluetooth,Electronica,Media,Monitorear
P0379,Shampoo canino,Mascotas,Alta,Reabastecimiento urgente
P0380,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0381,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0382,Salsa de soya,Comida Asiatica,Baja,Alerta de sobrestock
P0383,Palillos chinos,Cocina,Media,Monitorear
P0384,Te verde japones,Comida Asiatica,Media,Monitorear
P0385,Lapicero gel,Papeleria,Baja,Monitorear
P0386,Palillos chinos,Cocina,Alta,Monitorear
P0387,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0388,Farol decorativo,Decoracion,Baja,Alerta de sobrestock
P0389,Mascarilla coreana,Belleza,Baja,Monitorear
P0390,Luz LED USB,Electronica,Alta,Monitorear
P0391,Pijama,Ropa,Alta,Monitorear
P0392,Palillos chinos,Cocina,Alta,Monitorear
P0393,Pijama,Ropa,Media,Monitorear
P0394,Lapicero gel,Papeleria,Baja,Alerta de sobrestock
P0395,Caja multiuso,Hogar,Baja,Monitorear
P0396,Shampoo canino,Mascotas,Media,Monitorear
P0397,Palillos chinos,Cocina,Media,Monitorear
P0398,Crema hidratante,Belleza,Alta,Monitorear
P0399,Cepillo facial,Belleza,Baja,Alerta de sobrestock
P0400,Figura Feng Shui,Decoracion,Baja,Monitorear
P0401,Pijama,Ropa,Media,Monitorear
P0402,Luz LED USB,Electronica,Baja,Monitorear
P0403,Ramen coreano,Comida Asiatica,Media,Monitorear
P0404,Cable Tipo C,Electronica,Media,Monitorear
P0405,Polo basico,Ropa,Media,Monitorear
P0406,Mascarilla coreana,Belleza,Alta,Monitorear
P0407,Ramen coreano,Comida Asiatica,Media,Monitorear
P0408,Medias termicas,Ropa,Media,Monitorear
P0409,Salsa de soya,Comida Asiatica,Baja,Alerta de sobrestock
P0410,Mini ventilador USB,Electronica,Baja,Monitorear
P0411,Sarten antiadherente,Cocina,Alta,Monitorear
P0412,Te verde japones,Comida Asiatica,Alta,Monitorear
P0413,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0414,Lapicero gel,Papeleria,Baja,Monitorear
P0415,Vaporizador de bambu,Cocina,Baja,Alerta de sobrestock
P0416,Ramen coreano,Comida Asiatica,Alta,Monitorear
P0417,Mochi,Comida Asiatica,Media,Monitorear
P0418,Stickers decorativos,Papeleria,Alta,Monitorear
P0419,Luz LED USB,Electronica,Alta,Monitorear
P0420,Plato para mascotas,Mascotas,Media,Monitorear
P0421,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0422,Mascarilla coreana,Belleza,Media,Monitorear
P0423,Luz LED USB,Electronica,Media,Monitorear
P0424,Polo basico,Ropa,Media,Monitorear
P0425,Mascarilla coreana,Belleza,Alta,Monitorear
P0426,Juguete para perro,Mascotas,Alta,Reabastecimiento urgente
P0427,Shampoo canino,Mascotas,Baja,Monitorear
P0428,Crema hidratante,Belleza,Media,Monitorear
P0429,Repisa modular,Hogar,Media,Monitorear
P0430,Cuaderno kawaii,Papeleria,Baja,Alerta de sobrestock
P0431,Medias termicas,Ropa,Baja,Alerta de sobrestock
P0432,Pijama,Ropa,Media,Monitorear
P0433,Organizador plastico,Hogar,Alta,Monitorear
P0434,Organizador plastico,Hogar,Media,Monitorear
P0435,Incienso japones,Decoracion,Alta,Monitorear
P0436,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0437,Mascarilla coreana,Belleza,Alta,Monitorear
P0438,Sarten antiadherente,Cocina,Media,Monitorear
P0439,Cepillo facial,Belleza,Media,Monitorear
P0440,Correa retractil,Mascotas,Baja,Alerta de sobrestock
P0441,Arena para gato,Mascotas,Baja,Monitorear
P0442,Repisa modular,Hogar,Baja,Alerta de sobrestock
P0443,Farol decorativo,Decoracion,Media,Monitorear
P0444,Organizador plastico,Hogar,Baja,Monitorear
P0445,Cable Tipo C,Electronica,Baja,Alerta de sobrestock
P0446,Farol decorativo,Decoracion,Alta,Monitorear
P0447,Crema hidratante,Belleza,Alta,Monitorear
P0448,Ramen coreano,Comida Asiatica,Media,Monitorear
P0449,Polo basico,Ropa,Alta,Monitorear
P0450,Repisa modular,Hogar,Media,Monitorear
P0451,Cepillo facial,Belleza,Baja,Monitorear
P0452,Escoba plegable,Hogar,Baja,Alerta de sobrestock
P0453,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0454,Farol decorativo,Decoracion,Baja,Alerta de sobrestock
P0455,Farol decorativo,Decoracion,Baja,Promocionar producto
P0456,Mini ventilador USB,Electronica,Baja,Alerta de sobrestock
P0457,Fideos udon,Comida Asiatica,Alta,Monitorear
P0458,Pijama,Ropa,Media,Monitorear
P0459,Te verde japones,Comida Asiatica,Media,Monitorear
P0460,Arena para gato,Mascotas,Alta,Monitorear
P0461,Sarten antiadherente,Cocina,Baja,Monitorear
P0462,Mini ventilador USB,Electronica,Media,Monitorear
P0463,Farol decorativo,Decoracion,Baja,Alerta de sobrestock
P0464,Medias termicas,Ropa,Alta,Monitorear
P0465,Plato para mascotas,Mascotas,Baja,Promocionar producto
P0466,Incienso japones,Decoracion,Alta,Monitorear
P0467,Pijama,Ropa,Baja,Alerta de sobrestock
P0468,Stickers decorativos,Papeleria,Alta,Monitorear
P0469,Taza termica,Cocina,Baja,Alerta de sobrestock
P0470,Sarten antiadherente,Cocina,Alta,Reabastecimiento urgente
P0471,Audifonos Bluetooth,Electronica,Alta,Reabastecimiento urgente
P0472,Taza termica,Cocina,Baja,Alerta de sobrestock
P0473,Mascarilla coreana,Belleza,Baja,Alerta de sobrestock
P0474,Palillos chinos,Cocina,Media,Monitorear
P0475,Mochi,Comida Asiatica,Alta,Monitorear
P0476,Te verde japones,Comida Asiatica,Baja,Monitorear
P0477,Crema hidratante,Belleza,Baja,Monitorear
P0478,Escoba plegable,Hogar,Media,Monitorear
P0479,Repisa modular,Hogar,Media,Monitorear
P0480,Cuaderno kawaii,Papeleria,Alta,Monitorear
P0481,Palillos chinos,Cocina,Media,Monitorear
P0482,Palillos chinos,Cocina,Alta,Monitorear
P0483,Juguete para perro,Mascotas,Alta,Monitorear
P0484,Incienso japones,Decoracion,Alta,Monitorear
P0485,Juguete para perro,Mascotas,Baja,Alerta de sobrestock
